"","logFC","logCPM","F","PValue","FDR"
"PARP10",-0.578992967961805,3.29044436914423,0.535006813339154,0.4645305027776,1
"SNORD94",0.363349081038163,6.71291776152804,0.534845163672703,0.464597989051187,1
"GPATCH4",0.831445549806226,3.0677114035652,0.53395788287734,0.464968635550711,1
"ATAD1",0.829361812723649,3.42922020357364,0.533594885059078,0.465120398575758,1
"MANEAL",1.03771536056074,3.07333870096561,0.53305153643323,0.465347742540838,1
"ERGIC3",0.613726211979571,4.16437473150874,0.532512076171372,0.465573612079149,1
"ARHGEF3",-0.67449303950018,3.50042966519132,0.532258515121369,0.4656798334208,1
"AHCYL1",0.704811384944521,3.59734893357361,0.532006034581621,0.465785657049123,1
"GLO1",0.579158108806099,3.96242394436235,0.53182257414855,0.465862574288916,1
"RAB32",0.727389354513106,3.23967605544716,0.531340602505031,0.466064735327759,1
"JMJD8",0.512166442095568,4.67034544089433,0.530810857008268,0.46628709771312,1
"ANKZF1",-0.590932839567906,3.79322725970522,0.530223360519566,0.466533888306453,1
"DCTN1",-0.518139656220472,4.15277570932188,0.530202354886133,0.466542725028507,1
"PFKFB2",-0.911162790657735,3.14975969041468,0.529588115163702,0.466800978657758,1
"STX3",0.973443312239789,3.74888363615593,0.529241347900036,0.466946889345604,1
"CYB561A3",0.94872441600116,3.21232048762916,0.529006415898676,0.467045781879127,1
"USP6NL",-0.7471317662636,3.45426077110092,0.528927547423142,0.467078975036835,1
"USP3",0.564703761254194,3.53493369568906,0.528797208514948,0.467133877327141,1
"KRT17",0.707202247242183,3.42658601616734,0.528334151927844,0.467328946094155,1
"BRD8",-0.91016895125336,3.14990523015666,0.528304685456865,0.467341351673866,1
"CEP104",-0.886742662621915,3.24999733982447,0.527836323257903,0.467538798963623,1
"ZNF787",0.808208115540327,3.15047418763643,0.52775773960265,0.467571946951448,1
"NOC2L",-0.909093928504271,3.14981502013296,0.527630045162376,0.467625803352785,1
"PLCG1",0.770839838089522,3.69138497211371,0.527487365739408,0.467685995670252,1
"RASA2",-0.565583962330218,3.30998370501938,0.527412387271425,0.467717646791452,1
"NUPL2",0.731722553373737,3.47468227654754,0.527153251667637,0.467826998350602,1
"M6PR",0.53511425135852,4.3519233910663,0.526357802426698,0.468162988843505,1
"WSB1",0.649256500971571,4.18951625290358,0.526156134088203,0.468248221902261,1
"PDZK1IP1",0.721366836155304,3.51340667593826,0.526046077604377,0.468294767972762,1
"NRP2",-0.746803487116017,3.49064824015989,0.526036238918394,0.468298909777223,1
"GEMIN5",-0.716808692911443,3.62180940711173,0.525859751425981,0.468373544493073,1
"C10orf55",0.94606588604115,3.06541333222598,0.525585575125876,0.46848953444738,1
"TMX3",0.694023559481766,3.73969261908324,0.52536785674516,0.468581645524533,1
"CLSTN1",0.449786805884235,4.76432641394486,0.524302894420805,0.469032735518955,1
"AKAP12",0.710828294002228,3.72873302113967,0.523152130447102,0.469520915551294,1
"RPL37",0.51872902589139,4.29368430483111,0.522942419021781,0.469609979777359,1
"ERGIC1",0.58641427089501,4.14138762088861,0.52272185349636,0.469703668523051,1
"STK11",-0.787087594342569,3.30665551136399,0.522556024838044,0.469774119821851,1
"SNORA27",0.797613599788991,3.14932056239202,0.521622039928379,0.470171309745707,1
"NTPCR",0.936585031605067,3.0661752835782,0.520737871536494,0.470547807749142,1
"CREBL2",0.936585031605067,3.0661752835782,0.520737871536494,0.470547807749142,1
"RNU6ATAC",0.936585031605067,3.0661752835782,0.520737871536494,0.470547807749142,1
"ANXA1",0.408823171350195,5.10165639327978,0.520561052477924,0.470623164462842,1
"SBNO2",0.804062731003419,3.18573942396826,0.520463315113167,0.470664810891448,1
"IQSEC1",0.804062731003419,3.18573942396826,0.520463315113167,0.470664810891448,1
"APOBEC3C",0.935443860223085,3.06626614978392,0.520157306146069,0.470795285040624,1
"DEDD2",0.742676920793126,3.52517307683882,0.520079401440552,0.470828492971265,1
"EIF3A",0.417187890795723,5.07335266634836,0.519977837939548,0.470871834991498,1
"ACIN1",0.660374630932056,3.94173135988875,0.519718868792331,0.470982300606005,1
"GPR137",0.659122806734806,3.18519629051114,0.519639488027024,0.471016186944098,1
"MAP4",0.547378078384807,4.20523684208352,0.519621289568438,0.47102395371878,1
"VAMP3",-0.708272342941019,3.51521713640667,0.519512166105648,0.471070517259032,1
"CHST12",-0.878606727486166,3.2492396203552,0.519321317137646,0.471151997653929,1
"RTN4IP1",0.935342937507966,3.06369785510642,0.519193033254771,0.471206789704304,1
"ARFIP2",-0.900263016429481,3.14905919263504,0.519170848484888,0.471216251584443,1
"COMT",-0.86376484912384,3.43730033102164,0.51833907565757,0.47157169191096,1
"MGLL",0.659094731110181,3.31787913390079,0.518306390883978,0.471585671881001,1
"WIPI1",-0.899198271991222,3.14896903557225,0.518161604877328,0.471647583570513,1
"UBE2Q1",-0.598406559355026,3.92459879717366,0.517969344394001,0.471729827647826,1
"PBDC1",-0.547209738545688,3.34140680151113,0.517778209221141,0.471811618935734,1
"LPCAT1",-0.817650605769628,3.15983679536257,0.517530974726187,0.471917426441822,1
"DCBLD2",0.414709495970255,5.29858567398904,0.51648765041649,0.472364425158824,1
"DGKD",0.707460192925445,3.33942375746397,0.516316878196774,0.472437645836442,1
"NHLRC2",0.788791813552309,3.15007652653803,0.516218863706874,0.472479678636425,1
"SNORD111",-0.335994924802035,8.41682387905455,0.515877886823666,0.472625981450994,1
"PHF11",0.797868904334333,3.06507289908338,0.515493282213384,0.472791066524948,1
"MED19",0.804751080591665,3.05865712750733,0.515216177902879,0.47291007276294,1
"GPC1",0.64242360003938,3.38894730319143,0.514910821589709,0.473041262915868,1
"ABHD16A",0.744594690679837,3.3052008236276,0.514627296927998,0.473163133038503,1
"SF3B4",0.648926909426652,3.66238695022079,0.514304251531189,0.47330203511391,1
"HINT2",1.00489774824228,3.06741019917304,0.513731561588604,0.473548486784086,1
"NCAPH2",-0.677027975230715,3.5592141459406,0.513476834081689,0.473658147588965,1
"ETV6",0.609082517438778,3.93408319575355,0.513451309774906,0.473669152992254,1
"CACNG8",0.824623673599001,3.17876802163337,0.512251410052808,0.474186366560491,1
"AKR1C3",0.568764587596649,4.39102596608145,0.511703851302782,0.474422701229913,1
